@relation pcrs
@attribute student_num integer
@attribute a1 real
@attribute a2 real
@attribute a3 real
@attribute course real
@attribute exm real
@attribute is_online integer
@attribute la35_c real
@attribute la35_np integer
@attribute la35_s integer
@attribute la35_ts integer
@attribute la36_c real
@attribute la36_np integer
@attribute la36_nrp integer
@attribute la36_s integer
@attribute la36_ts integer
@attribute la37_c real
@attribute la37_np integer
@attribute la37_s integer
@attribute la37_ts integer
@attribute la39_c real
@attribute la39_np integer
@attribute la39_s integer
@attribute la39_ts integer
@attribute la41_c real
@attribute la41_np integer
@attribute la41_s integer
@attribute la41_ts integer
@attribute la42_c real
@attribute la42_np integer
@attribute la42_s integer
@attribute la42_ts integer
@attribute la45_c real
@attribute la45_np integer
@attribute la45_nrp integer
@attribute la45_s integer
@attribute la45_ts integer
@attribute la47_c real
@attribute la47_np integer
@attribute la47_s integer
@attribute la47_ts integer
@attribute la48_c real
@attribute la48_np integer
@attribute la48_nrf integer
@attribute la48_nrp integer
@attribute la48_s integer
@attribute la48_ts integer
@attribute la49_c real
@attribute la49_np integer
@attribute la49_s integer
@attribute la49_ts integer
@attribute la50_c real
@attribute la50_np integer
@attribute la50_s integer
@attribute la50_ts integer
@attribute la52_c real
@attribute la52_np integer
@attribute la52_s integer
@attribute la52_ts integer
@attribute la54_c real
@attribute la54_np integer
@attribute la54_s integer
@attribute la54_ts integer
@attribute la55_c real
@attribute la55_np integer
@attribute la55_s integer
@attribute la55_ts integer
@attribute la56_c real
@attribute la56_np integer
@attribute la56_nrp integer
@attribute la56_s integer
@attribute la56_ts integer
@attribute la57_c real
@attribute la57_np integer
@attribute la57_nrp integer
@attribute la57_s integer
@attribute la57_ts integer
@attribute la58_c real
@attribute la58_np integer
@attribute la58_s integer
@attribute la58_ts integer
@attribute la59_c real
@attribute la59_np integer
@attribute la59_nre integer
@attribute la59_nrp integer
@attribute la59_s integer
@attribute la59_ts integer
@attribute la60_c real
@attribute la60_np integer
@attribute la60_s integer
@attribute la60_ts integer
@attribute la61_c real
@attribute la61_np integer
@attribute la61_nre integer
@attribute la61_nrp integer
@attribute la61_s integer
@attribute la61_ts integer
@attribute la62_c real
@attribute la62_np integer
@attribute la62_nrp integer
@attribute la62_s integer
@attribute la62_ts integer
@attribute la63_c real
@attribute la63_np integer
@attribute la63_nre integer
@attribute la63_nrf integer
@attribute la63_nrp integer
@attribute la63_s integer
@attribute la63_ts integer
@attribute la64_c real
@attribute la64_np integer
@attribute la64_nre integer
@attribute la64_nrp integer
@attribute la64_s integer
@attribute la64_ts integer
@attribute la67_c real
@attribute la67_np integer
@attribute la67_nre integer
@attribute la67_nrp integer
@attribute la67_s integer
@attribute la67_ts integer
@attribute la68_c real
@attribute la68_np integer
@attribute la68_nrp integer
@attribute la68_s integer
@attribute la68_ts integer
@attribute la82_c real
@attribute la82_np integer
@attribute la82_s integer
@attribute la82_ts integer
@attribute la83_c real
@attribute la83_np integer
@attribute la83_s integer
@attribute la83_ts integer
@attribute la84_c real
@attribute la84_np integer
@attribute la84_nrf integer
@attribute la84_nrp integer
@attribute la84_s integer
@attribute la84_ts integer
@attribute la87_c real
@attribute la87_np integer
@attribute la87_nrf integer
@attribute la87_nrp integer
@attribute la87_s integer
@attribute la87_ts integer
@attribute la91_c real
@attribute la91_np integer
@attribute la91_s integer
@attribute la91_ts integer
@attribute tst real
@data
2438,0.9021739130434783,0.9038461538461539,0.625,0.65,0.5133333333333333,1,1.0,0,3,1444577066385,1.0,0,0,12,1444577813334,1.0,0,3,1444580119689,1.0,0,15,1445963166708,1.0,0,63,1444449820080,1.0,0,3,1448055908534,1.0,0,0,33,1444609353787,1.0,0,15,1444450760444,1.0,0,-1,0,9,1444427118045,1.0,0,9,1446083414316,1.0,0,3,1446083630235,1.0,0,3,1446083805521,1.0,0,3,1446082721814,0.0,-1,3,1446082971162,1.0,0,-1,3,1447164065583,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,0,1,0,12,1445964189039,-1,-1,-1,-1,1.0,0,-1,0,6,1448058662911,1.0,0,0,12,1447166772288,1.0,0,3,0,0,18,1448056909302,1.0,0,0,0,15,1447163722278,1.0,0,-1,0,6,1449159425045,1.0,0,0,18,1449158344227,1.0,0,6,1443193630555,1.0,1,27,1446911093402,1.0,0,2,0,12,1444426739347,1.0,0,0,0,30,1446001499558,1.0,0,15,1449160543007,0.8333333333333334
2440,0.9347826086956522,0.8942307692307693,0.25,0.78,0.78,1,1.0,0,3,1445202732272,1.0,0,0,36,1445280698982,1.0,0,24,1445280906110,1.0,0,39,1446236015512,0.0,-1,36,1444427763870,1.0,0,12,1448044724396,1.0,0,0,12,1445281361238,0.0,-1,6,1444427909085,1.0,0,1,0,84,1444427513348,1.0,0,3,1443800861213,1.0,0,3,1443801017369,1.0,0,12,1443801437879,1.0,0,3,1443800378070,0.0,-1,3,1443800607482,1.0,0,0,12,1447200258589,1.0,0,0,6,1448984196525,1.0,0,3,1448984261226,0.0,-1,2,-1,12,1446240182774,1.0,0,3,1448985126287,1.0,3,1,3,63,1448054570390,0.0,-1,-1,24,1447206615513,1.0,0,4,2,0,81,1448058758350,1.0,0,3,0,33,1447199778173,-1,-1,-1,-1,-1,-1,0.0,-1,-1,9,1449261828593,1.0,0,3,1443148479961,1.0,0,3,1444018471519,0.0,-1,-1,-1,12,1444425440534,0.0,-1,8,-1,36,1446239102070,0.0,-1,9,1449264457094,0.8541666666666666
2441,0.8478260869565217,0.8317307692307693,0.8375,0.59,0.4,1,1.0,0,3,1445036841449,1.0,0,-1,3,1445036647638,1.0,0,3,1445199414563,1.0,0,3,1446230648983,1.0,0,48,1444423122648,0.0,-1,15,1448059678672,1.0,0,0,6,1445200020545,1.0,0,24,1444424180502,1.0,0,-1,-1,3,1444326456245,1.0,0,3,1443752378665,1.0,0,3,1443757712005,1.0,0,3,1443757882200,1.0,0,3,1443758005888,0.0,-1,3,1443758087351,1.0,0,-1,3,1446848875970,1.0,0,0,6,1448832316402,1.0,0,3,1448832392236,1.0,0,-1,-1,3,1446231625233,0.0,-1,6,1449010684302,-1,-1,-1,-1,-1,-1,1.0,0,0,27,1447202602985,-1,-1,-1,-1,-1,-1,-1,1.0,0,-1,-1,3,1446848654597,1.0,0,5,0,21,1449265694973,1.0,0,-1,3,1449264626461,1.0,0,6,1443073915845,1.0,0,3,1444256500853,1.0,0,-1,0,9,1444282043690,1.0,0,-1,-1,3,1446232180275,1.0,0,3,1449265533392,0.5625
2442,0.8586956521739131,0.6153846153846154,0.8625,0.71,0.6,1,1.0,0,6,1444763217540,1.0,1,1,9,1444766922030,1.0,1,9,1445457488165,1.0,0,12,1446227792903,1.0,0,9,1444200008196,-1,-1,-1,-1,1.0,0,0,54,1444768162797,1.0,0,96,1444207988502,1.0,1,0,1,42,1444162856209,1.0,0,6,1443326054501,1.0,0,51,1443336014484,1.0,0,12,1443336038635,1.0,0,3,1443325234753,0.0,-1,3,1443325356440,1.0,0,-1,3,1447187718449,1.0,0,0,12,1449001886189,1.0,0,39,1449002550639,1.0,0,1,0,9,1446228121241,1.0,0,39,1449009363415,-1,-1,-1,-1,-1,-1,1.0,0,-1,3,1447188309527,-1,-1,-1,-1,-1,-1,-1,1.0,0,1,0,12,1447188138182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,0,6,1442894181203,1.0,0,3,1443908985814,1.0,0,-1,0,27,1444199794498,1.0,0,-1,-1,3,1446227963888,-1,-1,-1,-1,0.9583333333333334
2443,0.7913043478260869,0.9711538461538461,0.875,0.47,0.32666666666666666,1,1.0,0,9,1444968972974,0.0,-1,-1,9,1445291744605,0.0,-1,9,1445213903089,0.0,-1,6,1446239705092,0.0,-1,6,1444426748387,-1,-1,-1,-1,0.0,-1,-1,12,1445289480660,-1,-1,-1,-1,0.0,-1,-1,-1,12,1444426836083,1.0,0,15,1443677826800,1.0,0,12,1443738678098,1.0,0,3,1443738789425,1.0,0,3,1443495914150,0.0,-1,3,1443496082692,1.0,0,0,39,1447204210955,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1,-1,21,1447210744794,-1,-1,-1,-1,-1,-1,-1,1.0,0,3,0,57,1447209148288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1,36,1443053636943,1.0,0,3,1444120156866,0.0,-1,2,-1,27,1444143179327,0.0,-1,-1,-1,12,1446242546526,0.0,-1,6,1449209773326,0.5625
2444,0.22826086956521738,0.1778846153846154,0.0,0.28,0.14,1,1.0,1,21,1450051281587,1.0,0,0,9,1445285295925,0.0,0,33,1450051734691,1.0,0,39,1450129814647,0.0,-1,114,1449718366923,1.0,0,3,1448045293055,1.0,1,1,6,1445284359567,1.0,0,75,1449715714737,1.0,0,2,0,36,1449712164086,1.0,3,45,1449699024727,1.0,1,24,1449699068323,1.0,1,57,1449699113338,1.0,1,6,1449698553566,0.0,-1,3,1443807803908,-1,-1,-1,-1,-1,1.0,0,0,12,1448918161777,1.0,0,3,1448917759002,0.0,0,4,0,30,1450131333141,-1,-1,-1,-1,1.0,0,-1,0,9,1448039253076,0.0,-1,-1,3,1446693944178,1.0,0,5,0,0,30,1448045222886,0.0,-1,2,-1,18,1446693594316,0.0,-1,2,-1,9,1449199032139,0.0,-1,-1,3,1449199061949,1.0,0,3,1443047495791,1.0,0,24,1449710504252,1.0,0,-1,0,6,1449711352770,1.0,0,1,0,24,1450132135213,-1,-1,-1,-1,0.7083333333333334
2445,0.7978260869565218,0.0,0.0,0.15,0.0,1,1.0,0,12,1445287504069,0.0,-1,-1,168,1445290430422,1.0,0,42,1445387889765,0.0,-1,60,1446166120724,0.0,-1,48,1444346785033,-1,-1,-1,-1,0.0,-1,-1,21,1445388047852,0.0,-1,9,1444346995381,-1,-1,-1,-1,-1,-1,1.0,0,3,1443567597793,1.0,0,3,1443569790314,1.0,0,6,1443569966237,1.0,0,3,1443567053107,0.0,-1,3,1443566998099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1,11,-1,36,1446164411594,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,0,3,1443152422285,1.0,0,3,1444345094706,0.0,-1,-1,-1,6,1444345662678,0.0,-1,3,-1,42,1446167214091,-1,-1,-1,-1,0.5625
2447,0.8804347826086957,0.8365384615384616,0.9125,0.94,0.94,1,1.0,0,3,1444622617718,1.0,0,0,6,1444622721681,1.0,0,3,1444622964467,1.0,0,6,1445996993607,1.0,0,15,1444020896222,-1,-1,-1,-1,1.0,0,0,6,1444623317775,1.0,1,66,1444023624568,1.0,0,-1,0,15,1444016034887,1.0,0,15,1443583309526,1.0,0,3,1443583067959,1.0,0,6,1443583119124,1.0,0,3,1443582652625,0.0,-1,3,1443582788786,1.0,0,0,12,1446520964960,1.0,0,0,6,1448934173343,1.0,0,3,1448934223203,1.0,0,-1,-1,3,1445997257492,1.0,0,3,1448934367402,-1,-1,-1,-1,-1,-1,1.0,0,0,30,1446523979205,-1,-1,-1,-1,-1,-1,-1,1.0,0,-1,-1,3,1446521053707,1.0,0,7,0,27,1448937797175,1.0,0,-1,3,1448936098519,1.0,0,3,1443107405673,1.0,0,12,1444014517723,1.0,0,-1,0,24,1444020688618,0.0,0,2,0,48,1446149295298,1.0,0,3,1448936825111,0.9583333333333334
2448,0.6891304347826087,0.9615384615384616,0.75,0.79,0.76,1,1.0,0,3,1444605119700,1.0,0,0,66,1444706732383,1.0,0,57,1444697687867,1.0,0,9,1445975845371,1.0,0,108,1444342997677,1.0,0,15,1447559709869,1.0,0,0,24,1444750565614,1.0,0,108,1444404364715,1.0,0,1,0,96,1444339798669,0.0,0,6,1443756416405,1.0,0,60,1443756481747,1.0,0,3,1443756687107,1.0,0,3,1443744388744,0.0,-1,3,1443748414530,1.0,0,-1,3,1446827246646,1.0,0,-1,3,1448652103404,1.0,0,9,1448652323663,1.0,0,3,0,39,1446073359979,1.0,0,9,1448652779081,1.0,0,-1,0,33,1447818890313,1.0,0,0,9,1446827966967,1.0,1,1,9,0,78,1447563842797,1.0,0,2,0,24,1446827089512,1.0,0,3,0,15,1449074704801,1.0,0,0,36,1449074200660,1.0,0,3,1443103476519,1.0,0,51,1444327235124,1.0,0,5,0,87,1444329945416,1.0,0,4,0,60,1446074825446,1.0,0,3,1449074937583,0.6875
2449,0.782608695652174,1.0,0.9375,0.94,0.9466666666666667,1,1.0,0,3,1444681352342,1.0,0,0,6,1444681446347,1.0,0,6,1444683550979,1.0,0,3,1446138348409,1.0,0,12,1443910963328,1.0,0,3,1447951705947,1.0,0,0,6,1444683803582,1.0,0,3,1443911240870,1.0,0,-1,0,6,1443910276256,1.0,0,6,1443374527186,1.0,0,3,1443374558356,1.0,0,3,1443374627408,1.0,0,3,1443375958328,0.0,-1,3,1443376031609,1.0,0,-1,3,1446400703932,1.0,0,-1,3,1448414987374,1.0,0,3,1448415025502,1.0,0,7,0,33,1446220782006,1.0,0,6,1448415430001,1.0,0,-1,0,9,1447952127724,1.0,0,0,6,1447199284150,1.0,0,2,1,0,21,1448039890937,1.0,1,2,1,15,1446400443798,1.0,1,-1,0,12,1449013830435,1.0,0,0,9,1449013139170,1.0,0,3,1443018600827,1.0,0,3,1443909272792,1.0,0,-1,-1,3,1443909872068,1.0,0,1,0,15,1446158562223,1.0,0,3,1449014582215,0.875
