@relation pcrs
@attribute course_class integer
@attribute la35_c real
@attribute la35_s integer
@attribute la36_c real
@attribute la36_s integer
@attribute la37_c real
@attribute la37_s integer
@attribute la39_c real
@attribute la39_s integer
@attribute la41_c real
@attribute la41_s integer
@attribute la42_c real
@attribute la42_s integer
@attribute la45_c real
@attribute la45_s integer
@attribute la47_c real
@attribute la47_s integer
@attribute la48_c real
@attribute la48_nrf integer
@attribute la48_s integer
@attribute la49_c real
@attribute la49_s integer
@attribute la50_c real
@attribute la50_s integer
@attribute la52_c real
@attribute la52_s integer
@attribute la54_c real
@attribute la54_s integer
@attribute la55_c real
@attribute la55_s integer
@attribute la56_c real
@attribute la56_s integer
@attribute la57_c real
@attribute la57_s integer
@attribute la58_c real
@attribute la58_s integer
@attribute la59_c real
@attribute la59_nre integer
@attribute la59_s integer
@attribute la60_c real
@attribute la60_s integer
@attribute la61_c real
@attribute la61_nre integer
@attribute la61_s integer
@attribute la62_c real
@attribute la62_s integer
@attribute la63_c real
@attribute la63_nre integer
@attribute la63_nrf integer
@attribute la63_s integer
@attribute la64_c real
@attribute la64_nre integer
@attribute la64_s integer
@attribute la67_c real
@attribute la67_nre integer
@attribute la67_s integer
@attribute la68_c real
@attribute la68_s integer
@attribute la82_c real
@attribute la82_s integer
@attribute la83_c real
@attribute la83_s integer
@attribute la84_c real
@attribute la84_nrf integer
@attribute la84_s integer
@attribute la87_c real
@attribute la87_nrf integer
@attribute la87_s integer
@attribute la91_c real
@attribute la91_s integer
@data
1,1.0,3,1.0,36,1.0,24,1.0,39,0.0,36,1.0,12,1.0,12,0.0,6,1.0,1,84,1.0,3,1.0,3,1.0,12,1.0,3,0.0,3,1.0,12,1.0,6,1.0,3,0.0,2,12,1.0,3,1.0,1,63,0.0,24,1.0,4,2,81,1.0,3,33,-1.0,-1,-1,0.0,9,1.0,3,1.0,3,0.0,-1,12,0.0,8,36,0.0,9
1,1.0,3,1.0,3,1.0,3,1.0,3,1.0,48,0.0,15,1.0,6,1.0,24,1.0,-1,3,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,3,1.0,6,1.0,3,1.0,-1,3,0.0,6,-1.0,-1,-1,1.0,27,-1.0,-1,-1,-1,1.0,-1,3,1.0,5,21,1.0,3,1.0,6,1.0,3,1.0,-1,9,1.0,-1,3,1.0,3
1,1.0,6,1.0,9,1.0,9,1.0,12,1.0,9,-1.0,-1,1.0,54,1.0,96,1.0,0,42,1.0,6,1.0,51,1.0,12,1.0,3,0.0,3,1.0,3,1.0,12,1.0,39,1.0,1,9,1.0,39,-1.0,-1,-1,1.0,3,-1.0,-1,-1,-1,1.0,1,12,-1.0,-1,-1,-1.0,-1,1.0,6,1.0,3,1.0,-1,27,1.0,-1,3,-1.0,-1
0,1.0,9,0.0,9,0.0,9,0.0,6,0.0,6,-1.0,-1,0.0,12,-1.0,-1,0.0,-1,12,1.0,15,1.0,12,1.0,3,1.0,3,0.0,3,1.0,39,-1.0,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,0.0,21,-1.0,-1,-1,-1,1.0,3,57,-1.0,-1,-1,-1.0,-1,1.0,36,1.0,3,0.0,2,27,0.0,-1,12,0.0,6
0,1.0,21,1.0,9,0.0,33,1.0,39,0.0,114,1.0,3,1.0,6,1.0,75,1.0,2,36,1.0,45,1.0,24,1.0,57,1.0,6,0.0,3,-1.0,-1,1.0,12,1.0,3,0.0,4,30,-1.0,-1,1.0,-1,9,0.0,3,1.0,5,0,30,0.0,2,18,0.0,2,9,0.0,3,1.0,3,1.0,24,1.0,-1,6,1.0,1,24,-1.0,-1
0,1.0,12,0.0,168,1.0,42,0.0,60,0.0,48,-1.0,-1,0.0,21,0.0,9,-1.0,-1,-1,1.0,3,1.0,3,1.0,6,1.0,3,0.0,3,-1.0,-1,-1.0,-1,-1.0,-1,0.0,11,36,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,1.0,3,1.0,3,0.0,-1,6,0.0,3,42,-1.0,-1
1,1.0,3,1.0,6,1.0,3,1.0,6,1.0,15,-1.0,-1,1.0,6,1.0,66,1.0,-1,15,1.0,15,1.0,3,1.0,6,1.0,3,0.0,3,1.0,12,1.0,6,1.0,3,1.0,-1,3,1.0,3,-1.0,-1,-1,1.0,30,-1.0,-1,-1,-1,1.0,-1,3,1.0,7,27,1.0,3,1.0,3,1.0,12,1.0,-1,24,0.0,2,48,1.0,3
1,1.0,3,1.0,66,1.0,57,1.0,9,1.0,108,1.0,15,1.0,24,1.0,108,1.0,1,96,0.0,6,1.0,60,1.0,3,1.0,3,0.0,3,1.0,3,1.0,3,1.0,9,1.0,3,39,1.0,9,1.0,-1,33,1.0,9,1.0,1,9,78,1.0,2,24,1.0,3,15,1.0,36,1.0,3,1.0,51,1.0,5,87,1.0,4,60,1.0,3
1,1.0,3,1.0,6,1.0,6,1.0,3,1.0,12,1.0,3,1.0,6,1.0,3,1.0,-1,6,1.0,6,1.0,3,1.0,3,1.0,3,0.0,3,1.0,3,1.0,3,1.0,3,1.0,7,33,1.0,6,1.0,-1,9,1.0,6,1.0,2,1,21,1.0,2,15,1.0,-1,12,1.0,9,1.0,3,1.0,3,1.0,-1,3,1.0,1,15,1.0,3
1,1.0,3,1.0,9,1.0,3,1.0,3,1.0,3,1.0,9,1.0,15,1.0,24,1.0,-1,3,1.0,3,1.0,6,1.0,3,1.0,3,0.0,3,1.0,3,1.0,3,1.0,3,1.0,-1,3,1.0,3,1.0,-1,3,1.0,3,1.0,12,-1,42,1.0,1,9,1.0,-1,6,1.0,6,0.0,9,1.0,3,1.0,-1,21,1.0,2,36,1.0,12
1,1.0,9,1.0,6,1.0,12,1.0,3,1.0,12,1.0,6,1.0,24,0.0,30,1.0,-1,33,1.0,6,1.0,6,1.0,12,1.0,6,0.0,6,1.0,15,1.0,12,1.0,3,1.0,4,60,1.0,27,1.0,-1,9,1.0,3,1.0,-1,-1,3,1.0,1,45,1.0,7,45,1.0,24,1.0,3,1.0,18,1.0,-1,57,1.0,3,21,1.0,30
1,1.0,6,1.0,6,1.0,72,1.0,3,1.0,75,-1.0,-1,1.0,12,1.0,21,1.0,-1,6,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,9,1.0,15,1.0,6,1.0,1,12,1.0,12,-1.0,-1,-1,1.0,12,-1.0,-1,-1,-1,1.0,3,18,1.0,36,114,1.0,30,1.0,6,1.0,39,1.0,0,12,1.0,13,117,1.0,21
1,1.0,6,1.0,6,0.0,24,1.0,3,1.0,27,1.0,15,1.0,6,1.0,39,1.0,0,15,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,3,1.0,3,1.0,3,1.0,0,21,1.0,3,-1.0,-1,-1,1.0,3,-1.0,-1,-1,-1,1.0,-1,9,1.0,6,24,1.0,27,1.0,3,1.0,33,1.0,1,12,1.0,0,9,1.0,6
1,1.0,12,1.0,111,1.0,81,1.0,24,0.0,6,1.0,9,1.0,246,-1.0,-1,0.0,0,63,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,6,1.0,3,1.0,3,0.0,4,66,1.0,6,1.0,-1,48,1.0,12,1.0,9,8,138,1.0,-1,15,1.0,85,273,1.0,36,1.0,3,1.0,6,0.0,10,84,1.0,1,105,1.0,3
1,1.0,3,1.0,6,1.0,3,1.0,3,1.0,21,-1.0,-1,1.0,3,1.0,30,1.0,-1,27,1.0,3,1.0,12,1.0,3,1.0,3,0.0,3,-1.0,-1,1.0,6,1.0,3,1.0,-1,6,1.0,6,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1.0,-1,-1,1.0,-1,3,1.0,6,1.0,3,1.0,15,1.0,0,84,1.0,7,93,1.0,3
1,1.0,9,1.0,9,1.0,9,1.0,6,1.0,3,1.0,6,1.0,6,1.0,9,1.0,-1,3,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,3,1.0,3,1.0,3,1.0,0,15,1.0,6,1.0,-1,9,1.0,9,1.0,-1,1,9,1.0,-1,6,1.0,2,27,1.0,18,1.0,3,1.0,3,1.0,-1,3,1.0,1,9,1.0,3
1,1.0,3,1.0,15,1.0,39,1.0,9,1.0,27,1.0,3,1.0,12,1.0,51,1.0,-1,3,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,9,1.0,6,1.0,6,1.0,2,39,1.0,6,1.0,0,12,1.0,21,1.0,0,3,36,1.0,-1,9,1.0,3,15,1.0,12,1.0,9,1.0,6,1.0,-1,18,1.0,2,12,1.0,6
1,1.0,3,1.0,12,0.0,9,1.0,39,1.0,57,1.0,12,1.0,24,1.0,18,1.0,-1,3,1.0,3,1.0,18,1.0,3,1.0,12,0.0,3,1.0,21,1.0,6,1.0,9,1.0,6,45,1.0,12,1.0,-1,12,1.0,12,1.0,0,7,66,1.0,7,45,1.0,-1,6,0.0,18,1.0,3,1.0,6,1.0,-1,24,1.0,-1,6,-1.0,-1
1,-1.0,-1,-1.0,-1,-1.0,-1,1.0,33,1.0,3,1.0,3,-1.0,-1,0.0,3,1.0,-1,3,1.0,3,1.0,9,1.0,6,1.0,3,0.0,3,-1.0,-1,-1.0,-1,-1.0,-1,1.0,2,12,-1.0,-1,1.0,-1,6,1.0,6,1.0,-1,-1,3,-1.0,-1,-1,1.0,-1,6,1.0,12,1.0,27,1.0,15,1.0,-1,3,1.0,-1,3,1.0,24
0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1,1.0,12,1.0,12,1.0,6,1.0,9,0.0,3,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,0.0,3,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1
1,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,9,1.0,3,1.0,-1,3,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,6,1.0,3,1.0,3,1.0,-1,3,1.0,3,1.0,-1,3,1.0,3,1.0,-1,-1,3,1.0,1,27,1.0,-1,9,1.0,6,1.0,3,1.0,3,1.0,-1,3,1.0,2,15,1.0,9
1,1.0,9,1.0,6,1.0,12,1.0,12,0.0,48,1.0,24,1.0,15,1.0,36,1.0,-1,6,1.0,15,1.0,9,1.0,12,1.0,9,0.0,9,1.0,12,1.0,21,1.0,45,1.0,2,45,1.0,12,1.0,1,18,1.0,99,0.0,-1,4,18,1.0,4,57,1.0,1,15,0.0,78,1.0,21,1.0,9,1.0,-1,18,1.0,0,12,0.0,18
1,1.0,3,1.0,3,1.0,24,1.0,6,1.0,39,1.0,21,1.0,120,1.0,24,1.0,1,57,1.0,3,1.0,9,1.0,6,1.0,6,0.0,6,1.0,9,1.0,3,1.0,3,1.0,1,15,1.0,3,1.0,-1,15,1.0,33,1.0,15,-1,51,1.0,-1,9,1.0,10,36,1.0,6,1.0,3,1.0,18,1.0,-1,54,1.0,0,27,1.0,6
1,1.0,9,1.0,12,1.0,6,1.0,6,1.0,24,1.0,9,1.0,27,1.0,6,1.0,0,27,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,3,1.0,3,1.0,6,1.0,-1,6,1.0,6,1.0,-1,3,1.0,3,1.0,4,3,39,1.0,-1,6,1.0,3,27,1.0,15,1.0,3,1.0,3,1.0,-1,12,1.0,-1,3,1.0,9
1,1.0,3,1.0,6,1.0,12,-1.0,-1,1.0,12,1.0,36,1.0,18,1.0,6,1.0,-1,3,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,6,1.0,9,1.0,3,-1.0,-1,-1,1.0,3,1.0,-1,6,1.0,9,1.0,2,11,102,1.0,-1,9,1.0,-1,3,1.0,3,1.0,3,1.0,3,1.0,-1,6,-1.0,-1,-1,1.0,3
1,1.0,3,1.0,3,1.0,3,1.0,12,1.0,6,1.0,12,1.0,18,1.0,60,1.0,-1,6,1.0,3,1.0,18,1.0,21,1.0,3,0.0,3,1.0,3,1.0,3,1.0,3,1.0,-1,3,1.0,21,1.0,-1,3,1.0,3,1.0,-1,-1,3,1.0,-1,3,1.0,11,39,1.0,12,1.0,33,1.0,48,1.0,-1,3,1.0,-1,3,1.0,3
1,1.0,33,1.0,3,1.0,84,1.0,27,1.0,84,0.0,15,1.0,87,0.0,108,0.0,2,141,1.0,12,1.0,30,1.0,9,1.0,3,0.0,3,0.0,78,1.0,15,1.0,6,0.0,-1,6,1.0,39,1.0,3,54,0.0,27,0.0,3,5,69,1.0,5,60,-1.0,-1,-1,0.0,3,1.0,9,1.0,87,1.0,1,123,0.0,1,57,1.0,48
1,1.0,3,1.0,12,1.0,3,1.0,6,1.0,21,-1.0,-1,1.0,3,1.0,18,1.0,-1,3,1.0,3,1.0,15,1.0,3,1.0,3,0.0,3,-1.0,-1,-1.0,-1,-1.0,-1,1.0,-1,9,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1.0,-1,-1,1.0,-1,6,1.0,9,-1.0,-1,1.0,3,1.0,-1,3,1.0,-1,3,1.0,6
0,1.0,6,1.0,6,1.0,48,1.0,6,0.0,201,-1.0,-1,1.0,39,1.0,30,1.0,1,39,1.0,3,1.0,3,1.0,3,1.0,3,0.0,6,-1.0,-1,-1.0,-1,-1.0,-1,1.0,6,24,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,1.0,12,1.0,54,1.0,-1,66,1.0,-1,9,-1.0,-1
1,1.0,3,1.0,6,0.0,15,1.0,6,1.0,3,-1.0,-1,-1.0,-1,0.0,6,1.0,-1,3,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,1.0,21,1.0,6,1.0,9,1.0,-1,12,1.0,21,0.0,-1,3,1.0,6,-1.0,-1,-1,-1,1.0,0,27,-1.0,-1,-1,-1.0,-1,1.0,9,1.0,12,1.0,-1,3,0.0,-1,12,-1.0,-1
1,1.0,12,1.0,15,1.0,6,1.0,9,1.0,12,1.0,3,1.0,15,1.0,15,1.0,-1,6,1.0,3,1.0,12,1.0,18,1.0,9,0.0,3,1.0,6,1.0,3,1.0,9,1.0,-1,6,1.0,3,1.0,-1,3,1.0,24,1.0,-1,-1,3,1.0,9,33,1.0,-1,6,1.0,3,1.0,18,1.0,24,1.0,-1,6,1.0,-1,3,1.0,9
0,1.0,3,1.0,6,1.0,6,-1.0,-1,1.0,3,-1.0,-1,1.0,21,1.0,21,1.0,-1,3,1.0,3,1.0,3,1.0,3,1.0,6,0.0,3,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,1.0,3,1.0,3,1.0,-1,3,-1.0,-1,-1,-1.0,-1
0,1.0,15,0.0,6,0.0,33,1.0,30,1.0,39,-1.0,-1,-1.0,-1,0.0,69,1.0,-1,6,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,-1.0,-1,-1.0,-1,-1.0,-1,1.0,0,9,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,1.0,9,1.0,15,1.0,-1,132,1.0,-1,3,-1.0,-1
1,1.0,9,0.0,81,1.0,159,0.0,18,1.0,15,1.0,6,1.0,57,1.0,21,1.0,-1,6,1.0,12,1.0,48,1.0,6,1.0,3,0.0,3,0.0,33,1.0,6,1.0,21,1.0,5,48,1.0,6,1.0,-1,3,1.0,54,1.0,0,0,12,1.0,-1,6,1.0,2,12,1.0,3,1.0,3,1.0,69,1.0,-1,42,1.0,1,42,1.0,3
1,1.0,21,1.0,6,1.0,21,1.0,15,1.0,6,1.0,3,1.0,24,1.0,3,1.0,-1,15,1.0,3,1.0,12,1.0,3,1.0,3,0.0,3,1.0,3,1.0,3,1.0,9,1.0,2,12,1.0,6,1.0,2,24,1.0,9,1.0,2,-1,12,1.0,-1,3,-1.0,-1,-1,0.0,9,1.0,3,1.0,30,1.0,-1,36,1.0,-1,6,-1.0,-1
1,1.0,3,1.0,6,1.0,6,1.0,12,1.0,3,1.0,6,1.0,12,1.0,9,1.0,-1,3,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,9,1.0,3,1.0,12,1.0,-1,6,1.0,9,1.0,7,30,1.0,3,0.0,-1,-1,3,1.0,-1,6,1.0,3,15,1.0,6,1.0,3,1.0,3,1.0,-1,9,1.0,-1,3,1.0,6
1,1.0,3,1.0,6,1.0,27,1.0,21,1.0,21,1.0,3,1.0,12,1.0,69,1.0,-1,21,1.0,3,1.0,3,1.0,3,1.0,6,0.0,3,1.0,3,1.0,9,1.0,3,1.0,1,18,1.0,3,1.0,-1,3,1.0,27,1.0,-1,-1,6,1.0,1,12,1.0,2,12,1.0,6,1.0,3,1.0,3,1.0,-1,18,1.0,1,21,0.0,21
0,1.0,3,1.0,3,1.0,3,1.0,9,1.0,3,1.0,3,1.0,3,1.0,27,1.0,-1,3,1.0,6,1.0,3,1.0,3,1.0,3,0.0,3,1.0,3,1.0,3,1.0,6,1.0,-1,3,0.0,24,1.0,-1,6,1.0,6,1.0,-1,-1,3,1.0,-1,6,1.0,1,9,1.0,3,1.0,9,1.0,3,1.0,-1,3,1.0,-1,3,1.0,6
0,-1.0,-1,-1.0,-1,-1.0,-1,0.0,33,0.0,15,-1.0,-1,-1.0,-1,0.0,3,1.0,0,18,1.0,3,1.0,3,1.0,3,1.0,12,0.0,3,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,0.0,6,0.0,15,1.0,3,30,-1.0,-1,-1,-1.0,-1
1,1.0,6,1.0,24,1.0,21,1.0,15,1.0,21,1.0,12,1.0,6,1.0,3,1.0,1,9,1.0,9,1.0,9,1.0,18,1.0,3,0.0,3,1.0,6,1.0,15,1.0,6,1.0,-1,9,1.0,69,1.0,-1,3,1.0,18,1.0,-1,-1,3,1.0,-1,6,1.0,7,27,1.0,21,1.0,6,1.0,24,1.0,-1,15,1.0,-1,12,0.0,48
1,1.0,12,1.0,12,1.0,42,1.0,6,1.0,21,-1.0,-1,1.0,21,1.0,9,1.0,2,12,1.0,3,1.0,3,1.0,3,1.0,9,0.0,6,1.0,3,-1.0,-1,-1.0,-1,1.0,-1,12,-1.0,-1,-1.0,-1,-1,1.0,33,-1.0,-1,-1,-1,1.0,-1,6,1.0,-1,6,0.0,3,1.0,3,1.0,6,1.0,-1,42,1.0,-1,39,-1.0,-1
1,1.0,3,1.0,15,1.0,6,1.0,3,1.0,6,1.0,15,1.0,6,1.0,3,1.0,-1,6,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,3,1.0,3,1.0,3,1.0,-1,3,1.0,9,1.0,-1,6,1.0,9,1.0,0,4,27,1.0,-1,6,1.0,-1,3,1.0,6,1.0,3,1.0,6,1.0,-1,3,1.0,-1,12,1.0,3
1,1.0,3,1.0,12,1.0,18,1.0,9,1.0,6,1.0,6,1.0,3,1.0,12,1.0,1,9,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,3,1.0,3,1.0,3,1.0,-1,9,1.0,9,1.0,2,27,1.0,3,1.0,-1,2,18,1.0,-1,9,-1.0,-1,-1,-1.0,-1,1.0,6,1.0,9,1.0,-1,21,1.0,0,27,-1.0,-1
0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1,1.0,36,1.0,18,1.0,6,1.0,3,0.0,3,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,1.0,6,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1
1,1.0,12,1.0,36,1.0,36,1.0,9,1.0,54,1.0,3,1.0,69,1.0,72,1.0,4,102,1.0,6,1.0,9,1.0,3,1.0,6,0.0,3,1.0,3,1.0,24,1.0,9,1.0,1,42,1.0,24,1.0,3,24,1.0,15,1.0,3,5,57,1.0,-1,3,1.0,7,84,1.0,48,1.0,6,1.0,72,1.0,-1,3,0.0,0,60,1.0,48
1,1.0,9,1.0,48,1.0,6,1.0,15,1.0,24,1.0,6,1.0,48,1.0,3,1.0,-1,6,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,3,1.0,18,1.0,18,1.0,1,12,1.0,9,1.0,-1,6,1.0,33,0.0,0,-1,6,1.0,1,9,1.0,28,90,1.0,30,1.0,3,1.0,3,1.0,0,18,1.0,-1,9,1.0,33
1,1.0,15,1.0,213,1.0,123,1.0,51,1.0,21,1.0,201,1.0,93,1.0,12,1.0,4,54,1.0,3,1.0,18,1.0,3,1.0,3,0.0,3,1.0,117,1.0,30,1.0,3,1.0,1,39,1.0,87,1.0,1,42,1.0,9,1.0,6,2,141,1.0,6,30,-1.0,-1,-1,-1.0,-1,1.0,3,1.0,54,1.0,0,45,1.0,6,57,-1.0,-1
