id,a1,a2,a3,tst,exm,course
2447,40.5,43.50,18.25,23.00,70.5,94
2535,44.0,49.25,14.0,21.00,53.5,76
3311,42.5,49.50,17.0,19.50,63.0,87
3147,41.5,52.00,17.75,18.5,61.0,86
3513,40.0,50.50,16.5,21.75,66.0,90
2524,41.5,51.00,19.5,23,72.0,97
2705,44.0,41.60,18.25,22.00,72.5,95
2531,43.5,52.00,20.0,23.50,71.0,96
3247,38.5,52.00,16.75,20.00,52.0,79
3423,,48.50,15.0,22.5,9.0,35
3302,40.5,48.50,8.5,21.50,66.0,87
2563,41.5,49.50,15.25,19.50,59.5,84
3307,40.5,51.25,18.0,17,44.5,72
3594,41.0,46.25,17.5,18,32.0,63
2520,41.0,33.75,0.0,12.00,29.5,50
3361,37.5,49.00,17.75,19.50,56.5,83
3156,43.0,51.00,18.25,23.00,71.5,96
2608,42.5,,,21.5,,19
2437,43.5,41.25,16.25,20.00,62.5,86
2500,44.0,52.00,19.75,18.50,45.5,77
2592,42.5,50.50,17.75,21.50,72.0,95
2477,8.7,,,10,,12
3553,39.5,46.75,15.75,20.50,58.0,78
2466,,,,,,2
3424,44.5,45.25,17.5,19,62.5,87
3419,22.0,37.60,9.25,14.5,20.0,42
3066,43.5,51.50,19.5,24.00,71.0,97
3021,43.5,51.50,16.25,21.50,70.5,94
2620,42.0,50.00,0.0,7.50,,25
3175,35.0,47.40,18.5,21.50,67.5,91
3477,43.5,49.50,18.25,24,69.0,94
3056,41.5,48.50,16.25,22.00,45.0,76
3167,40.0,49.00,19.5,18.50,59.5,85
2440,43.0,46.50,5.0,20.50,58.5,78
3148,44.5,52.00,16.25,24.00,70.5,95
3485,41.5,50.00,18.5,22.00,70.0,94
3109,40.0,43.50,19.5,18.00,31.5,65
2463,42.5,39.75,19.25,19.00,65.0,88
2791,41.5,48.25,20.0,21.50,61.5,88
2859,40.5,46.50,18.0,18.50,62.5,86
3099,39.0,47.15,0.0,17.50,32.0,56
2510,43.0,47.75,,14.00,28.5,50
3338,37.0,36.00,3.5,12.5,43.0,57
2543,,,,,,4
3008,39.0,40.25,13.75,19.00,57.0,79
2525,33.9,42.15,13.0,13.00,29.5,53
3093,9.0,,,16.00,,18
3097,39.0,37.50,16.75,20.5,50.5,76
3254,41.5,49.00,16.0,19.00,65.0,87
3216,42.5,50.50,19.0,24.00,69.5,94
2945,43.0,50.00,19.5,23.00,74.0,98
3028,45.0,,17.0,21.5,18.5,37
3014,41.0,52.00,19.0,18.50,67.0,90
2946,41.5,50.50,20.0,23.00,65.5,92
2488,43.0,52.00,19.25,14.00,23.0,47
2956,42.0,48.50,20.0,22.00,66.5,92
3443,41.5,14.75,6.75,13.5,50.0,62
2494,43.0,48.50,19.5,21.00,67.5,92
3363,39.0,26.25,,18.50,37.0,50
2720,40.5,51.50,19.5,21.00,63.5,90
2575,42.5,48.00,14.75,21.50,62.0,87
3228,44.5,51.00,14.75,22.50,61.0,86
3561,41.5,49.50,19.75,19.50,47.0,78
3385,44.0,,,,,8
2735,39.2,50.50,14.75,10.00,12.5,47
2659,39.0,49.50,17.0,20.00,63.0,85
2507,42.5,51.50,18.5,23.00,69.0,94
3011,40.5,46.00,20.0,18.00,60.5,84
3305,43.5,48.00,20.0,19.50,72.5,95
3062,41.5,48.50,19.0,22.00,59.0,86
2951,44.0,52.00,17.5,24,55.0,84
2550,41.5,45.25,,21.00,56.0,76
3275,44.0,49.00,17.5,22.50,70.5,94
2925,16.0,40.00,10.0,7,9.0,29
2737,45.5,51.00,18.0,17.00,69.0,91
3639,38.0,52.00,18.5,24,,37
2582,41.5,48.75,17.25,17.50,52.0,77
3416,41.5,27.35,7.0,21.50,53.0,70
2750,41.5,48.25,16.75,17.00,45.0,73
3508,41.5,52.00,20.0,15.50,61.5,83
2691,43.0,51.50,14.0,21.5,69.5,92
2954,43.5,49.00,17.5,20.50,64.5,89
3295,45.0,49.50,20.0,23.50,69.5,96
2988,41.5,49.50,18.0,22.00,68.5,93
3003,39.5,49.50,17.5,24,65.0,90
3394,42.5,48.25,17.75,14.50,45.0,71
2546,40.0,36.35,15.25,17.50,34.0,64
2467,41.5,46.50,19.25,23,62.0,88
2491,42.5,49.50,16.25,22.5,45.5,72
3178,39.5,46.75,20.0,23.50,61.0,89
2521,32.5,21.75,14.5,9.00,38.5,58
3607,42.0,51.50,18.5,22.00,55.5,85
2431,41.0,47.00,17.0,18,17.0,44
3296,46.0,46.75,15.0,23,64.5,89
2434,42.5,51.50,18.25,21.50,59.5,87
3180,42.0,42.50,15.25,22.00,58.0,84
2998,44.0,50.50,17.0,20.50,68.5,91
3693,41.0,52.00,19.0,17.50,44.5,75
2484,42.5,,,18.00,37.0,55
3556,41.5,47.25,17.0,22.00,63.0,88
3439,42.5,52.00,18.0,14.00,29.5,62
3661,,,,19.50,,22
3177,46.0,52.00,18.0,15.00,41.0,71
2784,36.4,43.40,13.75,22,42.5,67
3388,30.2,15.50,1.75,16.50,43.0,59
2761,40.0,46.75,17.25,21.00,51.5,80
3082,42.0,,,11.00,,18
2502,39.0,38.75,18.0,13.00,37.5,63
2702,41.5,48.50,20.0,18.50,68.0,91
3342,43.0,50.50,18.25,15.50,37.5,68
3111,,,,,,6
3063,41.0,50.00,20.0,22.00,71.5,96
2961,42.0,50.50,18.0,16.5,57.5,83
3214,43.5,51.25,12.25,18.50,42.0,71
3007,41.5,50.00,19.0,21.50,65.0,91
2733,44.0,51.00,14.75,18.00,61.5,85
2828,42.0,52.00,20.0,21.50,59.5,88
3206,40.0,42.50,18.0,19.50,41.0,66
3309,33.0,11.50,,7.00,19.5,32
3211,44.0,50.50,18.75,21.50,64.0,90
3358,38.0,43.50,7.75,20.00,62.0,82
2648,39.0,50.25,15.5,13.00,32.0,62
3351,42.0,48.50,17.25,21.00,64.0,88
3379,43.5,50.50,19.75,21.00,45.5,76
2665,43.0,52.00,16.5,22.50,72.5,96
2831,42.5,50.50,17.0,19.50,64.0,87
2586,43.0,46.00,19.25,13.50,26.0,47
2979,46.0,,,22,,21
3250,42.0,46.50,15.75,21.50,55.5,82
2882,42.0,30.75,,22.00,67.0,82
3390,39.0,51.00,18.25,18.00,33.5,64
3500,42.5,47.00,20.0,20.5,65.0,90
3415,41.5,49.00,18.25,21.00,61.0,87
2721,41.0,43.25,14.0,20.00,34.0,64
2780,45.0,6.40,14.25,19.00,55.0,71
2803,40.5,48.50,12.0,18.50,46.5,73
2627,41.5,,,,,9
2652,45.0,45.50,17.5,21.50,55.5,83
2427,42.0,50.50,16.5,18.75,45.5,75
2815,44.0,51.00,19.0,13,54.5,80
3478,40.0,51.50,17.25,21.00,66.5,91
2673,,48.00,,5.75,10.5,26
2628,40.0,49.50,20.0,23.00,70.5,95
3246,,4.90,,18.50,,19
2743,39.0,35.00,19.0,11.50,31.5,50
3299,43.5,39.75,7.75,15.00,47.0,60
2732,39.5,44.25,13.75,20.5,36.0,65
3130,46.0,51.25,18.75,24.00,73.0,98
2606,41.5,,,,,11
2471,44.0,52.00,17.75,23.00,64.0,91
3278,44.0,52.00,17.25,24,71.5,96
3536,40.0,51.00,20.0,21.00,71.5,95
3359,26.0,52.00,18.0,7.00,14.5,46
3575,36.0,50.50,14.5,20.00,64.5,87
2504,38.5,52.00,19.25,20.50,54.0,81
2725,38.5,,,22.5,,18
2955,37.5,46.75,,22,,33
3282,37.0,51.00,,14.00,,31
3557,41.0,51.00,0.0,18.50,,38
3472,40.5,51.50,17.25,19.50,29.0,65
3317,41.0,50.00,12.75,22.00,44.5,74
3193,43.5,50.50,19.0,23.00,66.5,92
3386,37.5,47.50,15.5,18.50,48.0,73
3034,35.0,46.00,18.5,12.00,42.5,68
2914,42.5,47.40,18.5,19.50,52.5,80
3427,40.5,47.50,18.5,23.00,61.0,88
2465,44.0,25.35,18.0,10.50,29.0,54
3628,44.0,15.20,,23.50,,31
3248,38.5,51.50,15.25,21.00,68.5,91
3692,43.5,39.10,13.75,23.5,66.5,87
2786,22.5,52.00,7.0,12.00,21.5,47
3581,43.5,45.25,7.75,20.5,54.5,77
2727,40.0,52.00,18.0,22,69.5,90
3190,41.5,50.00,18.0,19.00,51.5,80
3256,41.5,47.00,12.5,11.50,31.0,56
2753,33.8,50.00,16.25,15.00,51.0,74
2749,34.0,48.75,1.75,14.00,29.5,54
3436,41.5,50.00,7.75,21.50,65.5,86
3452,40.0,50.50,18.75,23.00,61.0,88
2547,41.0,49.00,17.5,23.50,70.0,94
3137,40.5,38.25,14.0,13.00,52.0,71
3475,44.0,52.00,20.0,24.00,74.0,99
2574,43.5,52.00,18.5,21.50,63.0,90
2722,43.5,49.50,19.0,17.50,67.5,90
3335,45.0,49.50,16.0,16.50,59.0,83
2833,30.3,38.55,19.75,12.50,18.0,47
3171,37.5,52.00,18.25,18.50,64.5,88
2821,39.5,47.50,17.5,20.50,56.0,81
2534,38.0,44.75,14.75,18.00,51.0,76
2852,44.0,50.00,19.75,21.50,68.5,93
3266,44.5,45.50,19.5,18.50,63.5,88
3325,37.5,50.00,3.5,21.00,54.5,77
3215,41.5,51.00,18.0,23.00,73.0,97
3555,45.5,51.00,17.0,22.00,68.5,92
3006,45.5,42.50,15.25,20.50,51.0,72
3395,44.0,50.50,19.5,19.00,56.0,84
2442,39.5,32.00,17.25,23,45.0,71
3383,41.0,47.25,17.0,22.00,60.0,85
3244,42.5,50.50,18.75,24.00,70.0,96
3308,42.0,48.00,7.25,23.5,31.5,60
3129,38.5,50.50,19.0,20.00,59.0,85
2704,41.0,49.00,16.75,20.50,54.0,82
2483,12.0,,,19,,16
3434,44.0,49.25,18.5,21.00,70.5,94
3451,40.5,43.25,17.5,21.00,59.0,84
2593,39.0,52.00,12.75,20.50,41.5,72
2682,42.0,51.00,17.5,6.50,22.0,47
3533,38.5,34.75,15.25,20.00,69.0,88
3043,42.5,50.00,16.25,23.00,70.0,94
2932,41.5,47.50,12.25,18.00,53.0,77
3000,42.0,48.50,16.5,21.50,66.5,90
3261,42.5,50.00,14.25,20.5,53.0,79
2807,41.0,48.00,19.5,22.00,64.0,90
2621,40.5,50.25,18.25,21.50,52.0,80
2674,,,,,,2
3236,43.0,50.00,18.5,19.50,68.0,91
3523,36.5,49.50,17.5,21.50,,46
2438,41.5,47.00,12.5,20,38.5,65
3267,38.5,45.00,15.5,20.00,56.5,81
3232,42.5,49.25,16.5,21.50,49.5,79
2987,41.5,48.50,18.5,17.00,29.0,62
2717,46.0,49.75,18.75,22.50,64.0,91
3279,41.5,49.75,16.5,20.00,57.0,83
2475,25.1,34.00,6.25,18.00,31.5,56
2871,,,,10,,8
2875,44.0,52.00,19.25,23.00,69.5,95
2599,41.5,47.00,11.5,23.5,63.5,86
2928,43.0,51.00,17.5,21.00,66.0,91
2637,41.0,48.00,13.25,22.50,62.0,87
3264,40.5,45.00,12.25,20.00,56.0,80
3503,42.0,52.00,19.25,15.00,28.0,50
3406,41.0,49.50,20.0,21.00,67.0,92
2798,39.0,50.00,19.25,24,72.5,97
2464,41.0,51.00,19.0,23,63.5,90
2668,41.0,42.20,15.5,16,59.0,79
3530,40.5,51.50,19.75,11.00,30.0,51
2839,43.5,51.50,20.0,23,66.5,93
3466,44.0,48.00,18.75,20.00,65.5,90
2530,41.5,,,16.5,,17
2698,39.0,39.75,13.75,22.00,66.0,87
2782,40.0,50.50,17.25,18.50,47.5,76
3172,31.5,42.50,6.0,19.00,48.5,71
3354,41.5,51.00,17.5,,29.0,58
3545,41.5,51.50,17.5,23.5,48.0,78
2584,41.5,45.25,16.5,19.50,69.0,90
3053,4.4,,,,,4
2435,39.7,48.75,16.0,19.50,71.0,92
3623,36.5,52.00,19.5,22.00,56.0,84
2680,41.5,48.50,11.75,19.00,51.5,76
3225,44.5,49.50,19.5,21.00,68.0,93
3001,41.0,45.50,13.75,14.50,52.5,70
3127,41.5,51.00,16.75,21.00,50.0,78
2662,41.5,50.75,18.5,22.5,68.0,93
2559,34.5,49.00,17.0,22.50,61.0,87
3140,44.5,51.00,19.0,19,46.0,76
2558,43.0,43.90,7.5,18.00,66.0,84
2619,43.5,52.00,16.0,24.00,73.5,97
2840,41.5,50.50,19.75,21.00,59.0,86
3009,38.0,47.00,11.75,15.00,34.5,60
3252,38.5,45.75,13.0,19.50,48.0,75
2738,38.0,45.00,15.5,23.00,63.5,87
2997,44.5,21.75,14.5,14.50,20.5,47
3585,42.5,42.50,17.25,16.00,45.0,72
3081,39.5,47.50,18.75,22.50,71.5,94
2485,42.5,52.00,18.0,12.50,29.5,61
2429,43.5,47.00,15.75,23.00,67.0,91
3249,42.0,50.00,19.75,19,40.5,72
3284,42.0,52.00,19.0,22.00,58.5,87
3515,42.5,52.00,18.75,16.75,53.0,77
3496,43.0,30.25,17.5,18.00,42.0,70
2890,40.5,48.25,14.5,16.00,43.0,70
3161,44.0,52.00,18.5,22.00,64.0,91
3198,43.0,52.00,16.25,19.00,21.5,47
3199,43.5,49.00,6.0,17.50,40.0,66
3396,38.0,49.75,18.75,22.00,59.0,86
3318,42.0,50.00,19.0,20.00,65.0,90
2544,41.5,46.25,13.75,13.75,42.5,68
2841,43.0,41.60,18.25,9.50,,38
3134,27.3,47.50,17.75,16.50,48.0,73
2869,45.0,52.00,19.5,23.50,71.5,97
3205,38.5,50.50,18.0,17,43.5,72
2773,41.5,51.00,19.0,21.50,70.5,94
2600,39.0,49.50,18.5,20.50,68.5,91
3002,44.0,52.00,19.5,18.50,62.5,88
2880,41.5,51.00,19.5,23.00,73.0,97
2604,39.0,50.00,16.25,22.50,61.0,87
2760,44.0,52.00,17.25,24,15.5,47
2609,40.5,49.50,15.25,21.00,49.5,78
3194,40.5,42.75,14.5,21.50,56.0,82
3065,37.0,39.75,16.25,22.5,54.0,79
2774,,,,,,2
3112,42.5,50.50,17.5,20.50,62.0,87
2577,45.0,51.50,19.75,23.5,68.0,94
2576,44.0,42.50,18.0,21.00,57.0,84
3505,43.5,51.25,17.0,19.00,61.0,86
3297,42.5,50.50,18.5,21.50,68.0,92
