rf,mp
84.7826,82.291666666666657
82.6087,79.166666666666657
82.6087,79.166666666666657
83.6957,82.291666666666657
86.9565,84.375
89.1304,83.333333333333343
82.6087,83.333333333333343
80.4348,85.416666666666657
81.5217,85.416666666666657
83.6957,83.333333333333343
82.6087,81.25
79.3478,77.083333333333343
86.9565,82.291666666666657
79.3478,81.25
81.5217,83.333333333333343
89.1304,85.416666666666657
79.3478,85.416666666666657
84.7826,86.458333333333343
85.8696,85.416666666666657
79.3478,82.291666666666657
81.5217,82.291666666666657
89.1304,82.291666666666657
83.6957,83.333333333333343
79.3478,81.25
82.6087,81.25
78.2609,85.416666666666657
75.0,85.416666666666657
81.5217,86.458333333333343
76.087,83.333333333333343
83.6957,82.291666666666657
82.6087,83.333333333333343
82.6087,84.375
84.7826,83.333333333333343
89.1304,84.375
85.8696,86.458333333333343
83.6957,81.25
85.8696,83.333333333333343
84.7826,85.416666666666657
84.7826,84.375
80.4348,82.291666666666657
79.3478,85.416666666666657
78.2609,81.25
83.6957,81.25
85.8696,86.458333333333343
86.9565,83.333333333333343
86.9565,85.416666666666657
86.9565,84.375
85.8696,84.375
82.6087,83.333333333333343
83.6957,83.333333333333343
