rf,mp
71.7391,69.791666666666657
80.4348,72.916666666666657
79.3478,71.875
80.4348,67.708333333333343
78.2609,70.833333333333343
76.087,71.875
70.6522,72.916666666666657
80.4348,69.791666666666657
71.7391,73.958333333333343
71.7391,70.833333333333343
68.4783,65.625
75.0,70.833333333333343
79.3478,69.791666666666657
83.6957,75.0
77.1739,67.708333333333343
71.7391,70.833333333333343
70.6522,68.75
72.8261,70.833333333333343
75.0,70.833333333333343
68.4783,67.708333333333343
79.3478,69.791666666666657
65.2174,71.875
81.5217,70.833333333333343
76.087,66.666666666666657
68.4783,69.791666666666657
69.5652,71.875
72.8261,77.083333333333343
76.087,69.791666666666657
76.087,75.0
77.1739,68.75
65.2174,67.708333333333343
78.2609,72.916666666666657
69.5652,70.833333333333343
68.4783,75.0
82.6087,71.875
68.4783,69.791666666666657
67.3913,72.916666666666657
76.087,69.791666666666657
80.4348,70.833333333333343
76.087,68.75
76.087,76.041666666666657
71.7391,71.875
78.2609,71.875
73.913,70.833333333333343
79.3478,71.875
82.6087,69.791666666666657
75.0,72.916666666666657
76.087,76.041666666666657
73.913,63.541666666666664
80.4348,68.75
