rf,mp
74.4186,70.454545454545453
79.0698,70.454545454545453
74.4186,69.318181818181827
73.2558,70.454545454545453
74.4186,70.454545454545453
75.5814,78.409090909090907
69.7674,75.0
67.4419,69.318181818181827
79.0698,69.318181818181827
72.093,67.045454545454547
76.7442,80.681818181818173
80.2326,70.454545454545453
59.3023,69.318181818181827
70.9302,65.909090909090907
74.4186,81.818181818181827
77.907,73.86363636363636
74.4186,71.590909090909093
76.7442,72.727272727272734
70.9302,68.181818181818173
72.093,69.318181818181827
73.2558,72.727272727272734
74.4186,70.454545454545453
73.2558,73.86363636363636
70.9302,64.772727272727266
74.4186,68.181818181818173
73.2558,70.454545454545453
80.2326,68.181818181818173
72.093,71.590909090909093
62.7907,78.409090909090907
76.7442,68.181818181818173
75.5814,73.86363636363636
73.2558,67.045454545454547
68.6047,69.318181818181827
67.4419,71.590909090909093
74.4186,71.590909090909093
68.6047,67.045454545454547
82.5581,77.272727272727266
62.7907,69.318181818181827
77.907,72.727272727272734
74.4186,69.318181818181827
66.2791,73.86363636363636
72.093,68.181818181818173
74.4186,76.13636363636364
70.9302,72.727272727272734
70.9302,69.318181818181827
81.3953,73.86363636363636
69.7674,65.909090909090907
72.093,72.727272727272734
72.093,75.0
69.7674,73.86363636363636
