rf,mp
73.2558,67.045454545454547
82.5581,62.5
80.2326,72.727272727272734
77.907,65.909090909090907
73.2558,67.045454545454547
63.9535,69.318181818181827
77.907,67.045454545454547
70.9302,65.909090909090907
80.2326,71.590909090909093
69.7674,70.454545454545453
75.5814,69.318181818181827
69.7674,60.227272727272727
75.5814,65.909090909090907
69.7674,68.181818181818173
74.4186,67.045454545454547
66.2791,70.454545454545453
72.093,70.454545454545453
70.9302,64.772727272727266
70.9302,71.590909090909093
76.7442,65.909090909090907
67.4419,67.045454545454547
80.2326,67.045454545454547
77.907,69.318181818181827
69.7674,72.727272727272734
72.093,64.772727272727266
59.3023,64.772727272727266
72.093,67.045454545454547
69.7674,67.045454545454547
68.6047,69.318181818181827
67.4419,68.181818181818173
70.9302,72.727272727272734
73.2558,64.772727272727266
76.7442,64.772727272727266
81.3953,72.727272727272734
75.5814,68.181818181818173
76.7442,71.590909090909093
67.4419,68.181818181818173
80.2326,70.454545454545453
69.7674,68.181818181818173
68.6047,68.181818181818173
75.5814,64.772727272727266
69.7674,68.181818181818173
70.9302,67.045454545454547
77.907,68.181818181818173
75.5814,71.590909090909093
69.7674,69.318181818181827
67.4419,70.454545454545453
77.907,63.636363636363633
66.2791,64.772727272727266
74.4186,64.772727272727266
