rf,mp
55.4348,64.583333333333343
64.1304,66.666666666666657
55.4348,67.708333333333343
60.8696,64.583333333333343
73.913,67.708333333333343
70.6522,67.708333333333343
66.3043,67.708333333333343
64.1304,64.583333333333343
71.7391,66.666666666666657
61.9565,70.833333333333343
70.6522,67.708333333333343
68.4783,67.708333333333343
72.8261,63.541666666666664
68.4783,67.708333333333343
64.1304,65.625
67.3913,62.5
66.3043,66.666666666666657
60.8696,64.583333333333343
72.8261,65.625
71.7391,64.583333333333343
67.3913,66.666666666666657
65.2174,67.708333333333343
68.4783,64.583333333333343
63.0435,66.666666666666657
65.2174,65.625
69.5652,65.625
73.913,67.708333333333343
69.5652,69.791666666666657
67.3913,65.625
64.1304,68.75
60.8696,66.666666666666657
65.2174,65.625
66.3043,65.625
64.1304,68.75
65.2174,66.666666666666657
68.4783,68.75
68.4783,65.625
60.8696,66.666666666666657
64.1304,67.708333333333343
65.2174,67.708333333333343
64.1304,63.541666666666664
58.6957,63.541666666666664
67.3913,66.666666666666657
63.0435,67.708333333333343
75.0,65.625
60.8696,67.708333333333343
76.087,66.666666666666657
63.0435,64.583333333333343
61.9565,65.625
67.3913,69.791666666666657
