id,course
014517686,
014427608,0
014456268,75
014178847,75
013720526,75
014355550,75
014155491,0
014423495,75
013948230,0
013461872,0
014420634,75
014156267,75
014156131,75
014135851,
014106411,0
014271993,75
014168640,0
014049620,75
014225046,
014311413,75
014168967,75
013195203,0
014139750,0
014453546,75
013733791,75
014467503,75
013882451,75
014020377,75
013182025,75
013189125,0
014150580,0
013664352,0
014447468,0
014155307,0
013906146,75
014443925,75
014527207,75
014034046,75
014329845,75
014248832,0
014139886,75
014311837,0
012337790,75
014467723,75
014245327,75
012218725,75
013879707,75
014143089,75
014299894,0
014290770,
014537909,75
014154722,75
014145469,0
014257645,75
014448289,75
014162141,0
014467833,0
014339275,75
014141450,0
013781594,0
014157211,0
014465220,0
014291012,0
014444665,75
014261482,75
014168019,75
014087255,0
014441121,75
014330326,75
014428047,75
014334885,75
014178559,75
014140189,
014272264,75
012098657,75
014424795,
013909978,75
014300466,75
014146536,75
014441176,75
014148893,75
013482644,
013883942,75
014330643,75
013679062,75
014025738,
014418523,75
014532166,0
014449291,75
011507835,75
013746788,
014291889,75
014330876,75
013617794,0
014458855,75
014330944,75
014318306,0
014331082,
014449615,0
014248272,0
014442515,75
014452246,75
014421044,75
014301038,75
014034635,75
014225088,
014289189,75
014033717,75
014261563,75
